2014-05-15 09:38:58 you_young: Start autoRelist
2014-05-15 09:38:58 you_young: getting productStoreEbaySetting
2014-05-15 09:38:58 you_young: smartRelist from productStoreEbaySetting is true
2014-05-15 09:38:58 you_young: End autoRelist
2014-05-15 09:42:56 you_young: Start autoRelist
2014-05-15 09:42:56 you_young: getting productStoreEbaySetting
2014-05-15 09:42:56 you_young: smartRelist from productStoreEbaySetting is true
2014-05-15 09:42:56 you_young: End autoRelist
2014-05-15 09:44:47 you_young: Start autoRelist
2014-05-15 09:44:47 you_young: getting productStoreEbaySetting
2014-05-15 09:44:47 you_young: smartRelist from productStoreEbaySetting is true
2014-05-15 09:44:47 you_young: End autoRelist
2014-05-15 09:59:52 you_young: Start autoRelist
2014-05-15 09:59:52 you_young: getting productStoreEbaySetting
2014-05-15 09:59:52 you_young: smartRelist from productStoreEbaySetting is true
2014-05-15 09:59:52 you_young: End autoRelist
2014-05-15 10:02:15 you_young: Start autoRelist
2014-05-15 10:02:15 you_young: getting productStoreEbaySetting
2014-05-15 10:02:15 you_young: smartRelist from productStoreEbaySetting is true
2014-05-15 10:02:15 you_young: End autoRelist
2014-05-16 03:31:28 you_young: Start autoRelist
2014-05-16 03:31:28 you_young: getting productStoreEbaySetting
2014-05-16 03:31:28 you_young: smartRelist from productStoreEbaySetting is true
2014-05-16 03:31:28 you_young: itemId 321334648088, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221382286584, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221382312296, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221362394713, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221362394717, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221326304248, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321261846047, qtySold 1
2014-05-16 03:31:28 you_young: itemId 321261846048, qtySold 1
2014-05-16 03:31:28 you_young: itemId 221326313060, qtySold 3
2014-05-16 03:31:28 you_young: itemId 321261846339, qtySold 2
2014-05-16 03:31:28 you_young: itemId 221362545477, qtySold 2
2014-05-16 03:31:28 you_young: itemId 321308404550, qtySold 1
2014-05-16 03:31:28 you_young: itemId 321308469726, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321308475047, qtySold 15
2014-05-16 03:31:28 you_young: itemId 221326510712, qtySold 3
2014-05-16 03:31:28 you_young: itemId 221326510719, qtySold 1
2014-05-16 03:31:28 you_young: itemId 321335738268, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221363078683, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221363078685, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221363078686, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221326884622, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221326892723, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321262651298, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221345032214, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221383700955, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321336705852, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321336705853, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321337720181, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221345581645, qtySold 2
2014-05-16 03:31:28 you_young: itemId 321287261520, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321287261521, qtySold 2
2014-05-16 03:31:28 you_young: itemId 321287293536, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221328268149, qtySold 1
2014-05-16 03:31:28 you_young: itemId 221328268150, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321264929776, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221329140321, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221329152305, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221329152307, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321265885729, qtySold 13
2014-05-16 03:31:28 you_young: itemId 321265885736, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321265885737, qtySold 1
2014-05-16 03:31:28 you_young: itemId 221346690169, qtySold 2
2014-05-16 03:31:28 you_young: itemId 221346690170, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221346690172, qtySold 1
2014-05-16 03:31:28 you_young: itemId 321340358455, qtySold 4
2014-05-16 03:31:28 you_young: itemId 321266239505, qtySold 1
2014-05-16 03:31:28 you_young: itemId 321266239506, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321266239509, qtySold 2
2014-05-16 03:31:28 you_young: itemId 221329850664, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321266248178, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321266248179, qtySold 1
2014-05-16 03:31:28 you_young: itemId 221329858474, qtySold 5
2014-05-16 03:31:28 you_young: itemId 221329858475, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321266274484, qtySold 47
2014-05-16 03:31:28 you_young: itemId 321266284531, qtySold 9
2014-05-16 03:31:28 you_young: itemId 221329886703, qtySold 1
2014-05-16 03:31:28 you_young: itemId 221329899735, qtySold 66
2014-05-16 03:31:28 you_young: itemId 321266331582, qtySold 1
2014-05-16 03:31:28 you_young: itemId 221330425930, qtySold 3
2014-05-16 03:31:28 you_young: itemId 221330425932, qtySold 3
2014-05-16 03:31:28 you_young: itemId 321266954742, qtySold 1
2014-05-16 03:31:28 you_young: itemId 321266954761, qtySold 1
2014-05-16 03:31:28 you_young: itemId 321266955799, qtySold 3
2014-05-16 03:31:28 you_young: itemId 221386908619, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221386908621, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321266958023, qtySold 3
2014-05-16 03:31:28 you_young: itemId 321341379201, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321266964546, qtySold 2
2014-05-16 03:31:28 you_young: itemId 321266964782, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321266964821, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321266964849, qtySold 2
2014-05-16 03:31:28 you_young: itemId 221330433615, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321266964987, qtySold 1
2014-05-16 03:31:28 you_young: itemId 321266965008, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321266965073, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221330433781, qtySold 1
2014-05-16 03:31:28 you_young: itemId 221330433849, qtySold 2
2014-05-16 03:31:28 you_young: itemId 321266965204, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321266965224, qtySold 1
2014-05-16 03:31:28 you_young: itemId 321266965293, qtySold 1
2014-05-16 03:31:28 you_young: itemId 221330434087, qtySold 2
2014-05-16 03:31:28 you_young: itemId 221330434110, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321266965458, qtySold 1
2014-05-16 03:31:28 you_young: itemId 221330434177, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321266965632, qtySold 11
2014-05-16 03:31:28 you_young: itemId 321266965658, qtySold 1
